fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,eta
2,0.48,0.3378213652482269,0.2591946384320793,0.20064907504976,-0.1057305584797688,-0.0914737436476567,-0.1027108670956959,-0.1057305584797688,0.096397041278931,-0.1027108670956959,dp,2.5
3,0.4592,0.2179061098946929,0.260544942862016,0.2048953655703313,0.1078532919023715,0.103030303030303,0.1094089915083355,0.1078532919023715,-0.150299154115948,-0.1228260087087428,dp,2.5
4,0.4448,0.2462529608756024,0.2645534290271132,0.1923012205697718,0.0619052439765135,0.0353258831470786,0.059901473683631,0.0619052439765135,-0.103047313552526,-0.0755733643786022,dp,2.5
5,0.464,0.4844665138782785,0.2657516464032421,0.2111459970993363,0.0570187185667946,-0.0178929765886287,0.0475416123300635,0.0570187185667946,-0.1405814416567104,-0.0723554981562904,dp,2.5
6,0.44,0.259375,0.2556147266018115,0.1704572410621354,-0.0049462709649894,-0.0203982515784361,-0.0066222027122949,-0.0049462709649894,-0.020918178452425,-0.0066222027122949,dp,2.5
7,0.4647435897435897,0.2103879026955949,0.25875,0.2189438626528912,-0.1303036888140381,-0.2359588274781829,-0.1310311964216042,-0.1303036888140381,-0.2359588274781829,-0.1310311964216042,dp,2.5
8,0.4807692307692308,0.2391053489003529,0.2762962092731829,0.2353590238112899,0.0356251449146879,0.0171600171600171,0.038562639930421,0.0356251449146879,-0.0734860728206103,-0.0491086278081546,dp,2.5
9,0.4439102564102564,0.2072916666666666,0.2506179393897195,0.1856129595553719,0.0321141837644959,0.0371647509578544,0.0324724607575903,0.0321141837644959,0.0371647509578544,-0.0431879926034602,dp,2.5
10,0.4391025641025641,0.2114556416881998,0.2605349418761827,0.2125605563369276,-0.0941134371086062,-0.1203728128022508,-0.0972258714594708,-0.0941134371086062,-0.1203728128022508,-0.0972258714594708,dp,2.5
1,0.4544,0.2313220764630076,0.2603197674418605,0.1988157040882543,0.1146496815286624,0.0981308411214952,0.1132677551910978,0.1146496815286624,-0.1689189189189189,-0.1278031127102334,dp,3.0
2,0.4768,0.2187011307590521,0.271433506044905,0.2331488051899021,-0.0961751288903285,-0.0572181441746658,-0.0880653368627466,-0.0961751288903285,0.1128608923884514,0.0940172765301282,dp,3.0
3,0.4704,0.25461731678487,0.265973051338905,0.2070397377821972,-0.1014261811807824,-0.1348484848484847,-0.1044652239357019,-0.1014261811807824,-0.1348484848484847,-0.1044652239357019,dp,3.0
4,0.448,0.323592804911077,0.2677868566328247,0.1979413147250869,0.0381782749544441,0.0103502587564688,0.0362393495617207,0.0381782749544441,-0.0659983961507618,-0.050469958309299,dp,3.0
5,0.472,0.2406653426017874,0.2723135131712259,0.2263770712046574,0.0741749248578996,0.029933110367893,0.0715677677438958,0.0741749248578996,-0.1340103544404619,-0.0921468776250892,dp,3.0
6,0.4528,0.2253450406839015,0.2719766856759477,0.2246849012971499,0.1128976348558782,0.1172899465760077,0.1201449732880038,0.1128976348558782,-0.145686782673084,-0.1286578450216581,dp,3.0
7,0.4775641025641026,0.2193060597287486,0.2616666666666666,0.2146821678718335,0.1442114412995055,0.1391810248377712,0.1425956057974934,0.1442114412995055,-0.1430745814307458,-0.1448545984076806,dp,3.0
